uuid,major,minor,x,y,z,floor,power
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,26,63.527166079,104.80262465,0.0,4.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,12345,28,94.3613196116,53.4696577155,0.0,8.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,1,2.32298380398,-64.4556462206,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,2,-3.69177284438,-68.4403616048,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,3,1.08720205063,-106.873207193,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,5,5.87206984114,-57.3832824202,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,6,8.74351531505,-46.4441546702,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,7,-4.97207672051,-57.8804141838,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,9,1.71123066932,-80.7544946002,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,10,-26.8434509881,-66.1394388855,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,11,4.81146377767,-113.021394285,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,12,6.2799952878,-108.860555141,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,13,8.97230294282,-91.4421402964,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,14,1.63546946348,-91.8050404275,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,15,-2.19620153488,-54.4747865633,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,19,1.67553726872,-56.5588724994,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,20,4.44145727213,-84.3966120549,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,21,4.24036823234,-77.4095062125,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,22,-3.41136757327,-63.6131966773,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,23,-52.2146537622,-66.3070221052,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,24,36.8558987752,-48.31874739,0.0,4.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,25,6.27999526484,-116.244005021,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,26,-16.8442922236,-56.7094207969,0.0,7.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,31,0.778101353079,-127.560474987,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,32,-0.817906840176,-113.388527212,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,33,-0.817906801727,-122.281301084,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,34,4.48512345259,-92.6659164995,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,35,8.23803723392,-95.4398093054,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,36,6.03524000995,-49.267023683,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,37,8.48279249724,-53.6726180875,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,38,8.44199992534,-60.3203453516,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,39,6.0811315975,-63.7383596378,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,40,8.5235850389,-65.9875947522,0.0,3.0,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,41,4.63315941099,-68.6318910722,0.0,3.0,-8
