uuid,major,minor,x,y,z,floor,power
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,82,104.63295672219172,60.36008559551101,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,83,106.97995993430675,62.88095874503619,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,84,104.87812238213355,65.30475900165256,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,85,107.70354600077826,67.34242376670191,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,86,109.71992802020947,65.1320004929062,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1124,115.60641300573909,67.46806756055919,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1123,111.07293803682595,70.13182574484355,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1598,83.52562012171528,66.29658798196941,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1597,86.04791202717364,64.15151368739501,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1592,99.92701668350801,67.45476405630869,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1595,95.40846737450107,64.58631624819785,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1596,90.263957268231,66.7579178047899,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,2000,81.87161278092935,59.41460814911751,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1601,82.51185774799897,53.60933242644787,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1594,79.9181829286491,47.42144262981415,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1607,82.958936660384,40.053123885286325,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1608,78.2275764571318,36.73275877315948,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1137,108.81301685474531,78.67481086513826,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1461,116.5760881091061,80.37290665033169,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1476,109.78056826535335,86.79336884197619,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1465,112.57801492629203,90.11041567748806,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1143,115.02350870163292,74.62596201038113,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1471,107.07396881755469,88.93065820695489,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,2004,103.96712739067495,91.62648171853895,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1145,98.92961835072148,90.67829091830427,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1347,103.36421362691993,96.2444006280061,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1345,105.26997005112906,99.6413399610502,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1112,105.58819075363766,107.78022513635679,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1472,104.19083431287888,104.463186214181,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1213,97.35556220317221,96.43889203705429,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,2001,92.54953440083506,97.03131125900407,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,2002,94.42935240864506,104.45624926994822,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1356,90.00290230173914,105.61760977027788,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1138,85.04826079607444,101.06797763086881,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,1341,88.51277919026003,91.22360274700915,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,2003,94.33318038105429,90.6138131603272,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,55,52.24980430895673,27.866107816967695,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,56,55.15687694895479,25.880106660188275,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,57,58.182337342337455,28.610330864111745,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,58,62.24254717361751,26.724280029172625,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,59,65.63189972962472,29.63378869162578,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,60,67.93528689257634,27.523269158382433,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,65535,61,71.42576722052124,30.389497280731227,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,120,23.604815161096152,-12.584326700719112,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,119,20.222501796359197,-20.919882035060684,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,125,23.470407094660587,-29.50015848514908,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,126,20.397870500133035,-38.004398524746776,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,6,23.451342194605616,-45.88404631737961,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,5,20.599027411832104,-56.828038942449616,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,1,17.062332370300297,-63.90650212352174,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,22,11.326587603981388,-63.07407208965711,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,7,9.755893847483613,-57.34409036938056,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,15,12.525788022318142,-53.93366372078176,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,19,16.401112201713733,-56.010964273799566,0,3,-8
f7826da6-4fa2-4e98-8024-bc5b71e0893e,55555,37,23.203238764438744,-53.11286784892352,0,3,-8
